Fecha,Valor
07/03/2014,47.14
10/03/2014,46.07
11/03/2014,46.24
12/03/2014,46.91
13/03/2014,46.59
14/03/2014,47.17
17/03/2014,45.24
18/03/2014,46.20
19/03/2014,46.34
20/03/2014,45.93
21/03/2014,46.18
25/03/2014,45.15
26/03/2014,45.76
27/03/2014,45.22
28/03/2014,46.49
31/03/2014,45.48
01/04/2014,46.14
03/04/2014,45.92
04/04/2014,47.08
07/04/2014,46.41
08/04/2014,46.45
09/04/2014,46.49
10/04/2014,44.03
11/04/2014,48.32
14/04/2014,47.29
15/04/2014,45.83
16/04/2014,48.37
21/04/2014,46.05
22/04/2014,45.67
23/04/2014,45.99
24/04/2014,45.47
25/04/2014,46.29
28/04/2014,45.32
29/04/2014,44.29
30/04/2014,43.25
05/05/2014,45.82
06/05/2014,44.85
07/05/2014,44.53
08/05/2014,44.15
09/05/2014,45.93
12/05/2014,44.93
13/05/2014,44.71
14/05/2014,45.06
15/05/2014,43.92
16/05/2014,45.21
19/05/2014,44.14
20/05/2014,43.76
21/05/2014,43.90
22/05/2014,44.64
23/05/2014,44.77
26/05/2014,43.93
27/05/2014,44.36
28/05/2014,44.32
29/05/2014,44.20
30/05/2014,43.67
02/06/2014,42.02
03/06/2014,42.90
04/06/2014,43.88
05/06/2014,43.83
06/06/2014,44.59
09/06/2014,44.49
10/06/2014,44.03
11/06/2014,40.52
12/06/2014,38.89
13/06/2014,38.84
16/06/2014,38.41
17/06/2014,37.71
18/06/2014,38.51
19/06/2014,38.31
23/06/2014,38.30
24/06/2014,37.72
25/06/2014,37.69
26/06/2014,38.29
27/06/2014,38.56
30/06/2014,38.53
01/07/2014,36.95
02/07/2014,36.76
03/07/2014,37.28
04/07/2014,37.51
07/07/2014,37.19
08/07/2014,37.23
10/07/2014,37.25
11/07/2014,37.78
14/07/2014,37.46
15/07/2014,37.88
16/07/2014,37.34
17/07/2014,37.60
18/07/2014,37.77
21/07/2014,37.76
22/07/2014,37.52
23/07/2014,37.56
24/07/2014,37.37
25/07/2014,37.56
28/07/2014,37.78
29/07/2014,37.20
30/07/2014,36.97
31/07/2014,36.72
01/08/2014,37.60
04/08/2014,37.49
05/08/2014,37.10
06/08/2014,37.04
07/08/2014,37.73
08/08/2014,37.04
11/08/2014,37.02
12/08/2014,37.23
13/08/2014,37.08
14/08/2014,37.40
15/08/2014,37.43
19/08/2014,37.35
20/08/2014,37.03
21/08/2014,37.15
22/08/2014,37.19
25/08/2014,37.27
26/08/2014,36.99
27/08/2014,37.75
28/08/2014,38.14
29/08/2014,37.27
01/09/2014,37.51
02/09/2014,37.66
03/09/2014,38.10
04/09/2014,38.06
05/09/2014,38.11
08/09/2014,38.16
09/09/2014,37.89
10/09/2014,37.54
11/09/2014,37.84
12/09/2014,38.47
15/09/2014,37.73
16/09/2014,37.67
17/09/2014,37.82
18/09/2014,38.94
19/09/2014,37.97
22/09/2014,38.03
23/09/2014,37.88
24/09/2014,37.59
25/09/2014,37.25
26/09/2014,37.54
29/09/2014,37.33
30/09/2014,37.47
01/10/2014,37.25
02/10/2014,37.32
03/10/2014,37.45
06/10/2014,37.87
07/10/2014,37.46
08/10/2014,37.32
09/10/2014,37.68
10/10/2014,37.65
14/10/2014,37.90
15/10/2014,37.84
16/10/2014,37.70
17/10/2014,38.00
20/10/2014,37.65
21/10/2014,37.21
22/10/2014,38.61
23/10/2014,37.06
24/10/2014,37.55
27/10/2014,37.70
28/10/2014,37.24
29/10/2014,36.96
30/10/2014,37.19
31/10/2014,36.35
03/11/2014,37.34
04/11/2014,37.61
05/11/2014,37.21
07/11/2014,37.83
10/11/2014,37.24
11/11/2014,37.16
12/11/2014,38.57
13/11/2014,39.01
14/11/2014,37.69
17/11/2014,37.83
18/11/2014,37.24
19/11/2014,37.04
20/11/2014,37.10
21/11/2014,37.32
25/11/2014,37.32
26/11/2014,37.20
27/11/2014,37.21
28/11/2014,37.48
01/12/2014,37.63
02/12/2014,37.40
03/12/2014,37.29
04/12/2014,37.54
05/12/2014,37.73
09/12/2014,37.85
10/12/2014,36.74
11/12/2014,38.18
12/12/2014,38.34
15/12/2014,38.37
16/12/2014,37.84
17/12/2014,37.47
18/12/2014,37.68
19/12/2014,38.03
22/12/2014,38.02
23/12/2014,37.55
24/12/2014,37.38
29/12/2014,38.18
30/12/2014,37.25
02/01/2015,38.29
05/01/2015,38.42
06/01/2015,38.41
07/01/2015,38.52
08/01/2015,38.81
09/01/2015,38.78
12/01/2015,38.29
13/01/2015,38.25
14/01/2015,38.41
15/01/2015,38.68
16/01/2015,38.11
19/01/2015,38.20
20/01/2015,38.56
21/01/2015,38.36
22/01/2015,38.58
23/01/2015,37.91
26/01/2015,38.06
27/01/2015,38.60
28/01/2015,38.45
29/01/2015,38.53
30/01/2015,38.59
02/02/2015,38.03
03/02/2015,38.26
04/02/2015,37.88
05/02/2015,37.34
06/02/2015,37.98
09/02/2015,37.53
10/02/2015,37.62
11/02/2015,37.26
12/02/2015,37.50
13/02/2015,37.91
18/02/2015,37.61
19/02/2015,37.48
20/02/2015,37.50
23/02/2015,37.62
24/02/2015,37.46
25/02/2015,37.31
26/02/2015,37.24
27/02/2015,37.01
02/03/2015,37.97
03/03/2015,37.69
